seed,width,query,family,model_query_id,method,budget,rep,estimate,reference_rate,reference_ci_half_width,select_rate,uses_concept,abs_error,squared_error,build_label_cost,query_label_budget,first_query_label_cost,forward_cost,eval_accuracy,eval_nll,train_seconds
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,mc,512,0,0.00390625,0.0039,0.0012216304377347512,0.004375,True,6.250000000000179e-06,3.906250000000224e-11,0,512,512,512,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,random_stratified,512,0,0.0,0.0039,0.0012216304377347512,0.004375,True,0.0039,1.5209999999999998e-05,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,output_active,512,0,0.004078975340136054,0.0039,0.0012216304377347512,0.004375,True,0.00017897534013605436,3.203217237681635e-08,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,ase_output,512,0,0.0,0.0039,0.0012216304377347512,0.004375,True,0.0039,1.5209999999999998e-05,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,sparse_internal,512,0,0.0046913786879765555,0.0039,0.0012216304377347512,0.004375,True,0.0007913786879765556,6.262802277834946e-07,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,output_comp,512,0,0.0039062499999999996,0.0039,0.0012216304377347512,0.004375,True,6.249999999999745e-06,3.9062499999996815e-11,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,input_concept_comp,512,0,0.0036061674579006375,0.0039,0.0012216304377347512,0.004375,True,0.0002938325420993623,8.633756279657353e-08,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,mc,2048,0,0.00439453125,0.0039,0.0012216304377347512,0.004375,True,0.0004945312500000002,2.4456115722656265e-07,0,2048,2048,2048,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,random_stratified,2048,0,0.0035368620600725043,0.0039,0.0012216304377347512,0.004375,True,0.00036313793992749557,1.3186916341478537e-07,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,output_active,2048,0,0.00390625,0.0039,0.0012216304377347512,0.004375,True,6.250000000000179e-06,3.906250000000224e-11,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,ase_output,2048,0,0.0039025025150284456,0.0039,0.0012216304377347512,0.004375,True,2.502515028445819e-06,6.262581467597178e-12,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,sparse_internal,2048,0,0.003580729166666666,0.0039,0.0012216304377347512,0.004375,True,0.00031927083333333373,1.0193386501736136e-07,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,output_comp,2048,0,0.0039062499999999996,0.0039,0.0012216304377347512,0.004375,True,6.249999999999745e-06,3.9062499999996815e-11,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,input_concept_comp,2048,0,0.0039062499999999996,0.0039,0.0012216304377347512,0.004375,True,6.249999999999745e-06,3.9062499999996815e-11,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,mc,512,0,0.0234375,0.0192,0.002689657089221598,0.019,True,0.004237500000000002,1.7956406250000015e-05,0,512,512,512,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,random_stratified,512,0,0.024866147233156714,0.0192,0.002689657089221598,0.019,True,0.005666147233156716,3.210522446780951e-05,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,output_active,512,0,0.024307679117969324,0.0192,0.002689657089221598,0.019,True,0.005107679117969326,2.6088385972139908e-05,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,ase_output,512,0,0.0194426793050734,0.0192,0.002689657089221598,0.019,True,0.00024267930507340316,5.889324511090988e-08,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,sparse_internal,512,0,0.022668560192938995,0.0192,0.002689657089221598,0.019,True,0.003468560192938997,1.2030909812041013e-05,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,output_comp,512,0,0.012793752822661583,0.0192,0.002689657089221598,0.019,True,0.006406247177338415,4.104000289715641e-05,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,input_concept_comp,512,0,0.013650915646430985,0.0192,0.002689657089221598,0.019,True,0.005549084353569014,3.0792337163024435e-05,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,mc,2048,0,0.01953125,0.0192,0.002689657089221598,0.019,True,0.0003312500000000017,1.0972656250000111e-07,0,2048,2048,2048,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,random_stratified,2048,0,0.019628154728656727,0.0192,0.002689657089221598,0.019,True,0.00042815472865672874,1.83316471671117e-07,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,output_active,2048,0,0.021115362373448767,0.0192,0.002689657089221598,0.019,True,0.0019153623734487688,3.6686130216233007e-06,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,ase_output,2048,0,0.019172186572198685,0.0192,0.002689657089221598,0.019,True,2.7813427801313267e-05,7.735867660588658e-10,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,sparse_internal,2048,0,0.02190590857064044,0.0192,0.002689657089221598,0.019,True,0.002705908570640441,7.321941192665395e-06,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,output_comp,2048,0,0.01960019842714482,0.0192,0.002689657089221598,0.019,True,0.00040019842714482043,1.6015878108918815e-07,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,input_concept_comp,2048,0,0.019915583157893102,0.0192,0.002689657089221598,0.019,True,0.0007155831578931036,5.120592558602665e-07,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,mc,512,0,0.00390625,0.0045,0.0013118463172185986,0.004,True,0.0005937499999999997,3.525390624999996e-07,0,512,512,512,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,random_stratified,512,0,0.006820605575129358,0.0045,0.0013118463172185986,0.004,True,0.002320605575129358,5.385210235321459e-06,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,output_active,512,0,0.009893513198846866,0.0045,0.0013118463172185986,0.004,True,0.005393513198846866,2.9089984626135354e-05,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,ase_output,512,0,0.00306465681272923,0.0045,0.0013118463172185986,0.004,True,0.0014353431872707696,2.0602100652446114e-06,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,sparse_internal,512,0,0.004441550925925926,0.0045,0.0013118463172185986,0.004,True,5.844907407407361e-05,3.416294260116544e-09,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,output_comp,512,0,0.005397884325049389,0.0045,0.0013118463172185986,0.004,True,0.0008978843250493891,8.061962611693972e-07,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,input_concept_comp,512,0,0.005305683313732079,0.0045,0.0013118463172185986,0.004,True,0.0008056833137320791,6.491256020263038e-07,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,mc,2048,0,0.00341796875,0.0045,0.0013118463172185986,0.004,True,0.0010820312499999997,1.1707916259765617e-06,0,2048,2048,2048,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,random_stratified,2048,0,0.0042376903084491175,0.0045,0.0013118463172185986,0.004,True,0.00026230969155088216,6.880637428151894e-08,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,output_active,2048,0,0.008491131496888044,0.0045,0.0013118463172185986,0.004,True,0.003991131496888044,1.5929130625451796e-05,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,ase_output,2048,0,0.013240867097781037,0.0045,0.0013118463172185986,0.004,True,0.008740867097781036,7.640275762107107e-05,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,sparse_internal,2048,0,0.00551810315860215,0.0045,0.0013118463172185986,0.004,True,0.0010181031586021507,1.0365340415556761e-06,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,output_comp,2048,0,0.004362573725266362,0.0045,0.0013118463172185986,0.004,True,0.00013742627473363727,1.888598098716515e-08,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,input_concept_comp,2048,0,0.005533854166666666,0.0045,0.0013118463172185986,0.004,True,0.0010338541666666664,1.0688544379340273e-06,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,mc,512,0,0.01171875,0.013,0.002220170479940673,0.0125,True,0.0012812499999999994,1.6416015624999985e-06,0,512,512,512,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,random_stratified,512,0,0.01233480897429203,0.013,0.002220170479940673,0.0125,True,0.0006651910257079695,4.424791006824205e-07,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,output_active,512,0,0.011730008414852581,0.013,0.002220170479940673,0.0125,True,0.0012699915851474182,1.612878626345252e-06,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,ase_output,512,0,0.010251685364291857,0.013,0.002220170479940673,0.0125,True,0.0027483146357081423,7.553233336847579e-06,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,sparse_internal,512,0,0.012495924373306233,0.013,0.002220170479940673,0.0125,True,0.000504075626693766,2.5409223742671295e-07,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,output_comp,512,0,0.013498068744059944,0.013,0.002220170479940673,0.0125,True,0.0004980687440599447,2.4807247380945067e-07,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,input_concept_comp,512,0,0.012590724468337804,0.013,0.002220170479940673,0.0125,True,0.0004092755316621958,1.6750646081737302e-07,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,mc,2048,0,0.0107421875,0.013,0.002220170479940673,0.0125,True,0.0022578124999999994,5.097717285156247e-06,0,2048,2048,2048,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,random_stratified,2048,0,0.011585490715640124,0.013,0.002220170479940673,0.0125,True,0.0014145092843598755,2.000836515540287e-06,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,output_active,2048,0,0.011344524312094685,0.013,0.002220170479940673,0.0125,True,0.0016554756879053143,2.740599753245574e-06,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,ase_output,2048,0,0.011165832777317058,0.013,0.002220170479940673,0.0125,True,0.001834167222682941,3.364169400764453e-06,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,sparse_internal,2048,0,0.011885799899236346,0.013,0.002220170479940673,0.0125,True,0.0011142001007636536,1.2414418645417357e-06,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,output_comp,2048,0,0.012511576830776057,0.013,0.002220170479940673,0.0125,True,0.0004884231692239421,2.385571922347596e-07,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,input_concept_comp,2048,0,0.011493740862573099,0.013,0.002220170479940673,0.0125,True,0.0015062591374269008,2.2688165890820315e-06,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,mc,512,0,0.01953125,0.0204,0.0027707385250867684,0.020625,True,0.0008687500000000015,7.547265625000025e-07,0,512,512,512,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,random_stratified,512,0,0.02458751661239758,0.0204,0.0027707385250867684,0.020625,True,0.004187516612397579,1.75352953791057e-05,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,output_active,512,0,0.02221746256097084,0.0204,0.0027707385250867684,0.020625,True,0.001817462560970838,3.3031701605306773e-06,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,ase_output,512,0,0.018644856082891417,0.0204,0.0027707385250867684,0.020625,True,0.0017551439171085842,3.080530169763265e-06,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,sparse_internal,512,0,0.020203096731067384,0.0204,0.0027707385250867684,0.020625,True,0.0001969032689326175,3.877089731635069e-08,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,output_comp,512,0,0.025103490692047675,0.0204,0.0027707385250867684,0.020625,True,0.004703490692047674,2.2122824690179105e-05,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,input_concept_comp,512,0,0.018543610552751288,0.0204,0.0027707385250867684,0.020625,True,0.0018563894472487137,3.446181779856385e-06,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,mc,2048,0,0.02197265625,0.0204,0.0027707385250867684,0.020625,True,0.0015726562499999985,2.4732476806640578e-06,0,2048,2048,2048,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,random_stratified,2048,0,0.02118485589506134,0.0204,0.0027707385250867684,0.020625,True,0.0007848558950613385,6.159987760125348e-07,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,output_active,2048,0,0.023398574822310773,0.0204,0.0027707385250867684,0.020625,True,0.002998574822310772,8.991450964996077e-06,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,ase_output,2048,0,0.02069337267237009,0.0204,0.0027707385250867684,0.020625,True,0.00029337267237009024,8.606752489356831e-08,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,sparse_internal,2048,0,0.0216901577074589,0.0204,0.0027707385250867684,0.020625,True,0.0012901577074588971,1.6645069101155971e-06,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,output_comp,2048,0,0.02057861310967039,0.0204,0.0027707385250867684,0.020625,True,0.00017861310967038843,3.19026429461262e-08,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,input_concept_comp,2048,0,0.023322783657503062,0.0204,0.0027707385250867684,0.020625,True,0.0029227836575030607,8.54266430856697e-06,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,mc,512,0,0.0,0.0043,0.0012824916692127089,0.00475,True,0.0043,1.849e-05,0,512,512,512,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,random_stratified,512,0,0.003482579703282828,0.0043,0.0012824916692127089,0.00475,True,0.0008174202967171718,6.681759414851891e-07,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,output_active,512,0,0.003997395833333333,0.0043,0.0012824916692127089,0.00475,True,0.00030260416666666717,9.156928168402808e-08,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,ase_output,512,0,0.0025270696271929823,0.0043,0.0012824916692127089,0.00475,True,0.0017729303728070177,3.143282106821631e-06,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,sparse_internal,512,0,0.007940806831945446,0.0043,0.0012824916692127089,0.00475,True,0.0036408068319454465,1.3255474387540639e-05,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,output_comp,512,0,0.004557291666666666,0.0043,0.0012824916692127089,0.00475,True,0.0002572916666666661,6.61990017361108e-08,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,input_concept_comp,512,0,0.01635332700683608,0.0043,0.0012824916692127089,0.00475,True,0.012053327006836081,0.00014528269193372404,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,mc,2048,0,0.00439453125,0.0043,0.0012824916692127089,0.00475,True,9.453125e-05,8.9361572265625e-09,0,2048,2048,2048,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,random_stratified,2048,0,0.005833881540912744,0.0043,0.0012824916692127089,0.00475,True,0.0015338815409127442,2.352792581552855e-06,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,output_active,2048,0,0.004557291666666666,0.0043,0.0012824916692127089,0.00475,True,0.0002572916666666661,6.61990017361108e-08,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,ase_output,2048,0,0.004539292686150026,0.0043,0.0012824916692127089,0.00475,True,0.000239292686150026,5.726098964489485e-08,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,sparse_internal,2048,0,0.00472204506802721,0.0043,0.0012824916692127089,0.00475,True,0.00042204506802720997,1.7812203944609228e-07,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,output_comp,2048,0,0.004557291666666666,0.0043,0.0012824916692127089,0.00475,True,0.0002572916666666661,6.61990017361108e-08,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,input_concept_comp,2048,0,0.004742194699624586,0.0043,0.0012824916692127089,0.00475,True,0.0004421946996245856,1.955361523760775e-07,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,mc,512,0,0.0,0.0035,0.0011575206434444269,0.003625,True,0.0035,1.2250000000000001e-05,0,512,512,512,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,random_stratified,512,0,0.004723813353466387,0.0035,0.0011575206434444269,0.003625,True,0.0012238133534663866,1.497719124122643e-06,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,output_active,512,0,0.008937873159051403,0.0035,0.0011575206434444269,0.003625,True,0.005437873159051403,2.9570464493931687e-05,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,ase_output,512,0,0.007882656899202006,0.0035,0.0011575206434444269,0.003625,True,0.004382656899202007,1.920768149612295e-05,0,512,512,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,sparse_internal,512,0,0.006655851841073621,0.0035,0.0011575206434444269,0.003625,True,0.0031558518410736212,9.959400842807764e-06,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,output_comp,512,0,0.006859946756770806,0.0035,0.0011575206434444269,0.003625,True,0.003359946756770806,1.1289242208334659e-05,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,input_concept_comp,512,0,0.007281255184140675,0.0035,0.0011575206434444269,0.003625,True,0.0037812551841406752,1.4297890767590732e-05,6000,512,6512,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,mc,2048,0,0.001953125,0.0035,0.0011575206434444269,0.003625,True,0.001546875,2.392822265625e-06,0,2048,2048,2048,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,random_stratified,2048,0,0.007917610589152564,0.0035,0.0011575206434444269,0.003625,True,0.004417610589152564,1.9515283317392864e-05,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,output_active,2048,0,0.005551253357952289,0.0035,0.0011575206434444269,0.003625,True,0.002051253357952289,4.207640338510542e-06,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,ase_output,2048,0,0.004700686940791135,0.0035,0.0011575206434444269,0.003625,True,0.001200686940791135,1.4416491297863745e-06,0,2048,2048,3072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,sparse_internal,2048,0,0.00667081507769296,0.0035,0.0011575206434444269,0.003625,True,0.0031708150776929597,1.005406825692501e-05,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,output_comp,2048,0,0.007442896312123361,0.0035,0.0011575206434444269,0.003625,True,0.003942896312123361,1.5546431328156002e-05,6000,2048,8048,9072,0.6813333630561829,0.95064377784729,218.07780474994797
