budget,method,model_queries,rmse,mc_rmse,rmse_ratio_vs_mc,rmse_ratio_ci_low,rmse_ratio_ci_high
512,sparse_internal,12,0.0030573747858383864,0.005451681871881756,0.5608131321101965,0.43326235476037345,0.7527329500833603
512,output_active,12,0.0031988112478281475,0.005451681871881756,0.5867567702962856,0.36798673522653014,0.9532984825237689
512,output_comp,12,0.0032453815750682095,0.005451681871881756,0.5952991482879763,0.4635858914637123,0.6892714496933183
512,ase_output,12,0.004625496139024048,0.005451681871881756,0.8484530549886006,0.6881436883368235,1.20231326370311
512,random_stratified,12,0.004839957126246568,0.005451681871881756,0.8877915549712663,0.7585880807321883,1.1776050843064394
512,input_concept_comp,12,0.005306988757490243,0.005451681871881756,0.9734589952620311,0.6522091356044748,1.4390460298124346
512,mc,12,0.005451681871881756,0.005451681871881756,1.0,1.0,1.0
2048,output_comp,12,0.0015235996019293961,0.0019527259444762559,0.7802424125306757,0.5460315102773604,1.3623250461223924
2048,sparse_internal,12,0.0018932906522832668,0.0019527259444762559,0.9695629116000042,0.6975479505781753,1.2473485862562674
2048,output_active,12,0.001938937615761922,0.0019527259444762559,0.992938933006274,0.8267305696298203,1.4185948321950315
2048,mc,12,0.0019527259444762559,0.0019527259444762559,1.0,1.0,1.0
2048,input_concept_comp,12,0.0020389628493745035,0.0019527259444762559,1.0441623183950564,0.7812201857327417,1.3776301618972229
2048,ase_output,12,0.0023535574698012422,0.0019527259444762559,1.205267680525694,0.8204923097359589,2.1368221317379996
2048,random_stratified,12,0.0027976693287710694,0.0019527259444762559,1.4326994203589778,1.1016775807277706,1.8033003480831558
