method,cells,mean_auroc,mean_average_precision,mean_top_decile_lift
output_comp,12,0.8846589185841757,0.10786174851540485,5.9464245219831
sparse_internal,12,0.8599064376701611,0.07901813403869509,4.975448922660003
input_concept_comp,12,0.8096795308068815,0.05124239882057025,4.749921592042368
output_active,12,0.7634236514451652,0.029291138338914006,4.154729463810965
