family,budget,method,cells,model_queries,mean_reference_rate,rmse,mc_rmse,rmse_ratio_vs_mc,effective_mc_multiplier
concept_confusion,512,sparse_internal,6,2,0.0026,0.0013668418219787654,0.002158637717838498,0.633196488082966,2.49415250608638
concept_confusion,512,mc,6,2,0.0026,0.002158637717838498,0.002158637717838498,1.0,1.0
concept_confusion,512,random_stratified,6,2,0.0026,0.0022843631468371277,0.002158637717838498,1.0582429501530817,0.892954298239167
concept_confusion,512,ase_output,6,2,0.0026,0.0023295996879733683,0.002158637717838498,1.0791990099691482,0.8586119398769981
random_basis_dnf,512,output_comp,3,1,0.0034,0.0005947503960662665,0.001673146907153304,0.35546812627360747,7.914047818772098
random_basis_dnf,512,output_active,3,1,0.0034,0.0014971927215847,0.001673146907153304,0.8948363799877126,1.2488570663855836
random_basis_dnf,512,mc,3,1,0.0034,0.001673146907153304,0.001673146907153304,1.0,1.0
random_basis_dnf,512,sparse_internal,3,1,0.0034,0.001823808298361545,0.001673146907153304,1.0900467200842374,0.8416078449508044
random_basis_dnf,512,random_stratified,3,1,0.0034,0.0021674269477052173,0.001673146907153304,1.2954193911118554,0.5959079955443984
random_basis_dnf,512,input_concept_comp,3,1,0.0034,0.0029621184567787257,0.001673146907153304,1.7703875518130567,0.31905334741926444
random_basis_dnf,512,ase_output,3,1,0.0034,0.003672398428390916,0.001673146907153304,2.194904949882221,0.207571901693255
basis_class_error,2048,output_comp,12,4,0.026099999999999998,0.0015740620888751527,0.0030305280967592753,0.5194019123460335,3.7067467155649556
basis_class_error,2048,ase_output,12,4,0.026099999999999998,0.0025496558931784054,0.0030305280967592753,0.8413239579942865,1.4127765817551698
basis_class_error,2048,output_active,12,4,0.026099999999999998,0.0027213180977786293,0.0030305280967592753,0.8979682784293264,1.2401608289660884
basis_class_error,2048,sparse_internal,12,4,0.026099999999999998,0.002759459035309732,0.0030305280967592753,0.9105538530596652,1.2061150234483047
basis_class_error,2048,mc,12,4,0.026099999999999998,0.0030305280967592753,0.0030305280967592753,1.0,1.0
basis_class_error,2048,input_concept_comp,12,4,0.026099999999999998,0.0030935375269395974,0.0030305280967592753,1.0207915677296315,0.959678692128686
basis_class_error,2048,random_stratified,12,4,0.026099999999999998,0.004238283288406238,0.0030305280967592753,1.398529613679704,0.5112774825331888
basis_confusion,2048,output_active,3,1,0.0043,0.0003966814060126302,0.0004789839863499483,0.8281725847152072,1.4580026065475162
basis_confusion,2048,output_comp,3,1,0.0043,0.0003966814060126302,0.0004789839863499483,0.8281725847152072,1.4580026065475162
basis_confusion,2048,input_concept_comp,3,1,0.0043,0.00041869552081330575,0.0004789839863499483,0.8741326072379474,1.3087158386831652
basis_confusion,2048,ase_output,3,1,0.0043,0.0004351562693329667,0.0004789839863499483,0.9084985755975549,1.2115783341770627
basis_confusion,2048,mc,3,1,0.0043,0.0004789839863499483,0.0004789839863499483,1.0,1.0
basis_confusion,2048,sparse_internal,3,1,0.0043,0.00051112739727305,0.0004789839863499483,1.0671074855091658,0.878180253010506
basis_confusion,2048,random_stratified,3,1,0.0043,0.0014186021784300257,0.0004789839863499483,2.9616902002097145,0.11400417164177948
concept_class_error,2048,input_concept_comp,12,4,0.0062,0.001350649555891144,0.0013914589062479323,0.9706715374966908,1.061342143845617
concept_class_error,2048,mc,12,4,0.0062,0.0013914589062479323,0.0013914589062479323,1.0,1.0
concept_class_error,2048,sparse_internal,12,4,0.0062,0.0015140369220558508,0.0013914589062479323,1.088093162692422,0.8446325954297358
concept_class_error,2048,output_active,12,4,0.0062,0.001756236217022791,0.0013914589062479323,1.262154569665647,0.6277329303637078
concept_class_error,2048,output_comp,12,4,0.0062,0.0019229915203127323,0.0013914589062479323,1.3819966307866591,0.5235835959280393
concept_class_error,2048,random_stratified,12,4,0.0062,0.002089251662097133,0.0013914589062479323,1.5014828341074034,0.4435670292118429
concept_class_error,2048,ase_output,12,4,0.0062,0.0030389028935864718,0.0013914589062479323,2.183968840144098,0.20965591734368058
concept_confusion,2048,mc,6,2,0.0026,0.0005775224724782993,0.0005775224724782993,1.0,1.0
concept_confusion,2048,input_concept_comp,6,2,0.0026,0.0006951212577595995,0.0005775224724782993,1.203626336437876,0.6902662447612995
concept_confusion,2048,sparse_internal,6,2,0.0026,0.0007206885327648121,0.0005775224724782993,1.2478969513898739,0.6421589687471558
concept_confusion,2048,output_active,6,2,0.0026,0.0007241653256244775,0.0005775224724782993,1.253917137660281,0.6360076272304286
concept_confusion,2048,output_comp,6,2,0.0026,0.0007241653256244775,0.0005775224724782993,1.253917137660281,0.6360076272304286
concept_confusion,2048,ase_output,6,2,0.0026,0.0009077167449354671,0.0005775224724782993,1.5717427255085297,0.40479681060086947
concept_confusion,2048,random_stratified,6,2,0.0026,0.0011248250886686795,0.0005775224724782993,1.9476732807327168,0.26361358491608305
random_basis_dnf,2048,random_stratified,3,1,0.0034,0.00026168304392159165,0.0006165545937362655,0.4244280175350181,5.551264364402252
random_basis_dnf,2048,mc,3,1,0.0034,0.0006165545937362655,0.0006165545937362655,1.0,1.0
random_basis_dnf,2048,ase_output,3,1,0.0034,0.001300318778609316,0.0006165545937362655,2.109008337330683,0.22482438123156803
random_basis_dnf,2048,output_active,3,1,0.0034,0.001395639853661564,0.0006165545937362655,2.2636111511295565,0.1951624900475724
random_basis_dnf,2048,output_comp,3,1,0.0034,0.001395639853661564,0.0006165545937362655,2.2636111511295565,0.1951624900475724
random_basis_dnf,2048,sparse_internal,3,1,0.0034,0.0014446006070587016,0.0006165545937362655,2.343021399458808,0.18215768139882643
random_basis_dnf,2048,input_concept_comp,3,1,0.0034,0.0017804006107545072,0.0006165545937362655,2.887660928719125,0.11992441443460711
