pair_rank,source_class,source_class_name,target_class,target_class_name,component,source_count,predicted_target_logit_delta,base_target_rate,plus_target_rate,minus_target_rate,base_error_rate,plus_error_rate,minus_error_rate,target_rate_change_plus,target_rate_change_minus,seed,width
0,4,deer,7,horse,16,511,0.41961532666175627,0.299412915851272,0.36007827788649704,0.21526418786692758,0.5753424657534246,0.6516634050880626,0.4931506849315068,0.060665362035225046,-0.08414872798434442,20260521,1
1,0,airplane,8,ship,11,500,0.6760866302240477,0.17,0.27,0.098,0.308,0.458,0.188,0.1,-0.07200000000000001,20260521,1
2,5,dog,7,horse,11,490,0.2844596540769826,0.13877551020408163,0.15306122448979592,0.12040816326530612,0.35714285714285715,0.37551020408163266,0.3551020408163265,0.01428571428571429,-0.01836734693877551,20260521,1
3,9,truck,1,automobile,9,510,0.7881609731904827,0.11960784313725491,0.25098039215686274,0.06274509803921569,0.2,0.34509803921568627,0.12549019607843137,0.13137254901960782,-0.05686274509803922,20260521,1
4,2,bird,0,airplane,12,506,0.6285822436392272,0.11067193675889328,0.13043478260869565,0.08300395256916997,0.3932806324110672,0.5316205533596838,0.29446640316205536,0.01976284584980237,-0.027667984189723313,20260521,1
5,6,frog,2,bird,9,493,0.45895222041169775,0.1075050709939148,0.13387423935091278,0.07505070993914807,0.43204868154158216,0.5030425963488844,0.3813387423935091,0.02636916835699797,-0.032454361054766734,20260521,1
