basis,method,budget,observed_queries,build_labels,method_rmse,same_budget_mc_rmse_theory,ratio_vs_same_budget_mc_theory,ratio_at_observed_queries,break_even_queries_extrapolated,labels_per_query_at_break_even
saelens_sae,internal,64,12,6000,0.008529118963353762,0.009528281721551717,0.8951371519653978,2.726785480802899,382.0,79.70680628272251
saelens_sae,internal,128,12,6000,0.004339619665661802,0.006715778650061436,0.6461826530899888,1.468982308790199,35.0,299.42857142857144
saelens_sae,internal,256,12,6000,0.003291849272313553,0.004717885970676192,0.6977382015533852,1.2310397766428927,24.0,506.0
saelens_sae,internal,512,12,6000,0.0023204010209508536,0.003291934174637207,0.7048746718049359,1.0181763082091408,13.0,973.5384615384615
saelens_sae,internal,1024,12,6000,0.0020865541448443644,0.002264071973031093,0.9215935578456583,1.1569854126931132,38.0,1181.8947368421052
saelens_sae,internal,2048,12,6000,0.0014304283496295656,0.001506856842412439,0.9492795263413919,1.0937815982879946,35.0,2219.4285714285716
sklearn_sdl,internal,64,12,6000,0.006485765035268144,0.009528281721551717,0.6806856917966855,2.073518965564315,83.0,136.28915662650604
sklearn_sdl,internal,128,12,6000,0.004063595416145158,0.006715778650061436,0.6050817973442267,1.3755467613053698,29.0,334.8965517241379
sklearn_sdl,internal,256,12,6000,0.003900514805984825,0.004717885970676192,0.8267505467975063,1.4586600048601763,53.0,369.20754716981133
sklearn_sdl,internal,512,12,6000,0.002213472106760115,0.003291934174637207,0.6723925781426217,0.9712566222977269,11.0,1057.4545454545455
sklearn_sdl,internal,1024,12,6000,0.0017169519223382199,0.002264071973031093,0.7583468824268867,0.9520425498418548,10.0,1624.0
sklearn_sdl,internal,2048,12,6000,0.0011988749473359098,0.001506856842412439,0.7956130360841325,0.9167235509447871,8.0,2798.0
spd,internal,64,12,6000,0.009533959428216129,0.009528281721551717,1.0005958793862664,3.0480360580175634,,
spd,internal,128,12,6000,0.004540524612779412,0.006715778650061436,0.6760980147458963,1.536989608001106,41.0,274.3414634146342
spd,internal,256,12,6000,0.002797135161953614,0.004717885970676192,0.5928789248699696,1.0460335088767,14.0,684.5714285714286
spd,internal,512,12,6000,0.0027026844745387272,0.003291934174637207,0.8210019797362993,1.1859197077117158,27.0,734.2222222222222
spd,internal,1024,12,6000,0.0019470004582830323,0.002264071973031093,0.8599551964226774,1.0796034861143273,20.0,1324.0
spd,internal,2048,12,6000,0.0012720271656567566,0.001506856842412439,0.8441592657337467,0.9726596279206166,10.0,2648.0
global,mc,64,12,0,0.007571300740784485,0.009528281721551717,0.7946134425957622,0.7946134425957622,1.0,64.0
global,mc,128,12,0,0.007975749014228196,0.006715778650061436,1.1876134443703315,1.1876134443703315,,
global,mc,256,12,0,0.004697319575876935,0.004717885970676192,0.9956407605170862,0.9956407605170862,1.0,256.0
