basis_kind,seed,dictionary_seed,query,family,model_query_id,method,query_signature,query_description,reference_rate,select_rate,uses_concept,auroc,average_precision,top_decile_rate,top_decile_lift
sklearn_sdl,20260521,0,1,output_fp,cifar10/sklearn_sdl/m20260521/d0/1,input_concept_comp,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.7, ""values"": []}]]",(prediction in {automobile} AND label not in {automobile} AND confidence > 0.70),0.006,0.005625,False,0.7829194108490001,0.027673597391984692,0.021666666666666667,3.7142857142857144
sklearn_sdl,20260521,0,1,output_fp,cifar10/sklearn_sdl/m20260521/d0/1,embedding_comp,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.7, ""values"": []}]]",(prediction in {automobile} AND label not in {automobile} AND confidence > 0.70),0.006,0.005625,False,0.9818512752963716,0.5635919496218206,0.05333333333333334,9.142857142857142
sklearn_sdl,20260521,0,1,output_fp,cifar10/sklearn_sdl/m20260521/d0/1,pca_comp,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.7, ""values"": []}]]",(prediction in {automobile} AND label not in {automobile} AND confidence > 0.70),0.006,0.005625,False,0.9725925038917494,0.1631978261171941,0.058333333333333334,10.0
sklearn_sdl,20260521,0,1,output_fp,cifar10/sklearn_sdl/m20260521/d0/1,random_comp,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.7, ""values"": []}]]",(prediction in {automobile} AND label not in {automobile} AND confidence > 0.70),0.006,0.005625,False,0.9062962519458747,0.09417927473034211,0.041666666666666664,7.142857142857142
sklearn_sdl,20260521,0,1,output_fp,cifar10/sklearn_sdl/m20260521/d0/1,output_active,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.7, ""values"": []}]]",(prediction in {automobile} AND label not in {automobile} AND confidence > 0.70),0.006,0.005625,False,0.9480014369536582,0.049494107899163635,0.058333333333333334,10.0
sklearn_sdl,20260521,0,1,output_fp,cifar10/sklearn_sdl/m20260521/d0/1,per_query_rf,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.7, ""values"": []}]]",(prediction in {automobile} AND label not in {automobile} AND confidence > 0.70),0.006,0.005625,False,0.9966375284397078,0.8286887336783647,0.058333333333333334,10.0
sklearn_sdl,20260521,0,2,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/2,internal,"[[{""concept"": 6, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: bottom_heavy AND label in {cat} AND model error),0.0163,0.01725,True,0.8144890592272382,0.05513321612472969,0.065,4.105263157894736
sklearn_sdl,20260521,0,2,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/2,output_comp,"[[{""concept"": 6, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: bottom_heavy AND label in {cat} AND model error),0.0163,0.01725,True,0.7969517358171042,0.03824472489121369,0.03666666666666667,2.31578947368421
sklearn_sdl,20260521,0,2,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/2,input_concept_comp,"[[{""concept"": 6, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: bottom_heavy AND label in {cat} AND model error),0.0163,0.01725,True,0.9057266366593877,0.09583591322438917,0.08166666666666667,5.157894736842104
sklearn_sdl,20260521,0,2,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/2,embedding_comp,"[[{""concept"": 6, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: bottom_heavy AND label in {cat} AND model error),0.0163,0.01725,True,0.9298275324212308,0.22826216491421022,0.12833333333333333,8.105263157894736
sklearn_sdl,20260521,0,2,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/2,pca_comp,"[[{""concept"": 6, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: bottom_heavy AND label in {cat} AND model error),0.0163,0.01725,True,0.8719925130353403,0.06539083723807763,0.07,4.421052631578948
sklearn_sdl,20260521,0,2,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/2,random_comp,"[[{""concept"": 6, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: bottom_heavy AND label in {cat} AND model error),0.0163,0.01725,True,0.7676955301038371,0.05067397638244782,0.058333333333333334,3.6842105263157894
sklearn_sdl,20260521,0,2,concept_class_error,cifar10/sklearn_sdl/m20260521/d0/2,output_active,"[[{""concept"": 6, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: bottom_heavy AND label in {cat} AND model error),0.0163,0.01725,True,0.7215383929765142,0.02878281281553709,0.03,1.8947368421052628
