basis_kind,method,budget,cells,model_queries,mean_reference_rate,rmse,mc_rmse,mae,rmse_ratio_vs_mc,effective_mc_multiplier
saelens_sae,input_concept_comp,64,12,12,0.0059,0.0059703385474867005,0.007571300740784485,0.004219342274932783,0.7885485931533734,1.6082111821021736
saelens_sae,output_comp,64,12,12,0.0059,0.0061278818359618535,0.007571300740784485,0.0041497613088237245,0.8093565485984018,1.526582325925848
saelens_sae,pca_comp,64,12,12,0.0059,0.0064307521955299365,0.007571300740784485,0.004217195947303552,0.8493589695743121,1.3861730309252924
saelens_sae,random_comp,64,12,12,0.0059,0.007154643212389282,0.007571300740784485,0.005316607896653278,0.9449688312933093,1.1198633507242644
saelens_sae,mc,64,12,12,0.0059,0.007571300740784485,0.007571300740784485,0.0061671296296296205,1.0,1.0
saelens_sae,output_active,64,12,12,0.0059,0.008054892202172342,0.007571300740784485,0.005605863380873036,1.0638716487357165,0.8835304651172909
saelens_sae,internal,64,12,12,0.0059,0.008529118963353762,0.007571300740784485,0.005419718555714283,1.1265064293919507,0.788011672388552
saelens_sae,per_query_rf,64,12,12,0.0059,0.011187255712204051,0.007571300740784485,0.004518262035850193,1.4775870217308136,0.4580299366953145
saelens_sae,embedding_ase,64,12,12,0.0059,0.011565774042019247,0.007571300740784485,0.007838989679368255,1.5275808527480157,0.4285402195148608
saelens_sae,random_stratified,64,12,12,0.0059,0.011699186699329131,0.007571300740784485,0.007977848742291,1.545201689890467,0.4188221589129402
saelens_sae,embedding_comp,64,12,12,0.0059,0.01226198495338926,0.007571300740784485,0.003916681653492466,1.619534789753809,0.38125841378081715
saelens_sae,ase_output,64,12,12,0.0059,0.016196650666448792,0.007571300740784485,0.009397020654698931,2.1392163937171262,0.21851968398132485
saelens_sae,per_query_rf,128,12,12,0.0059,0.003978407953656853,0.007975749014228196,0.002838607040757671,0.49881308282891584,4.019058510476357
saelens_sae,internal,128,12,12,0.0059,0.004339619665661802,0.007975749014228196,0.003080530667430673,0.5441018339368773,3.3778442488428664
saelens_sae,input_concept_comp,128,12,12,0.0059,0.004609445251981058,0.007975749014228196,0.0031202540333524977,0.5779325858622331,2.993957530827951
saelens_sae,output_active,128,12,12,0.0059,0.005044340664486817,0.007975749014228196,0.003473394210122141,0.6324598047767118,2.499966221342677
saelens_sae,random_comp,128,12,12,0.0059,0.005289743246622023,0.007975749014228196,0.0036811922946787187,0.6632283986350974,2.273389093720315
saelens_sae,pca_comp,128,12,12,0.0059,0.00543073905871381,0.007975749014228196,0.0033148679426724553,0.6809064639604054,2.156875542858303
saelens_sae,embedding_comp,128,12,12,0.0059,0.00680442451328847,0.007975749014228196,0.003200531642330295,0.8531392476305156,1.3739159229203224
saelens_sae,ase_output,128,12,12,0.0059,0.007723315800398024,0.007975749014228196,0.005887910917938367,0.9683499050208515,1.0664374098630396
saelens_sae,random_stratified,128,12,12,0.0059,0.0077446341113478895,0.007975749014228196,0.005636793271892531,0.9710227964209991,1.0605744204275414
saelens_sae,mc,128,12,12,0.0059,0.007975749014228196,0.007975749014228196,0.005380092592592578,1.0,1.0
saelens_sae,output_comp,128,12,12,0.0059,0.008306983284375853,0.007975749014228196,0.004089463571420445,1.0415301772356123,0.9218415617032018
saelens_sae,embedding_ase,128,12,12,0.0059,0.009973759208680944,0.007975749014228196,0.00727740475680708,1.2505106656300786,0.6394773986660478
saelens_sae,per_query_rf,256,12,12,0.0059,0.0023738626821954625,0.004697319575876935,0.0016874284123614997,0.5053653778181123,3.91551623592983
saelens_sae,pca_comp,256,12,12,0.0059,0.002504713816822396,0.004697319575876935,0.0018995746258585594,0.533221931436248,3.5170941376451537
