basis_kind,budget,method,model_queries,rmse,mc_rmse,rmse_ratio_vs_mc,rmse_ratio_ci_low,rmse_ratio_ci_high
saelens_sae,64,pca_comp,12,0.004472864188125956,0.00821687372964249,0.5443510920692421,0.3595545671297883,0.7155063941979669
saelens_sae,64,per_query_rf,12,0.005648305592537167,0.00821687372964249,0.6874032361189663,0.5605845895570919,0.8426351641594703
saelens_sae,64,output_comp,12,0.006118791183151619,0.00821687372964249,0.7446617027931185,0.44515714008945384,1.0612616885838833
saelens_sae,64,input_concept_comp,12,0.006292587661463907,0.00821687372964249,0.7658128709904968,0.529489634620241,0.9776093766864349
saelens_sae,64,random_comp,12,0.006310242591672677,0.00821687372964249,0.7679614898922428,0.6209288138552694,1.0024651111566842
saelens_sae,64,output_active,12,0.008187479540931325,0.00821687372964249,0.9964227040991119,0.5749303827536082,1.4969675785569234
saelens_sae,64,mc,12,0.00821687372964249,0.00821687372964249,1.0,1.0,1.0
saelens_sae,64,internal,12,0.00852911896335413,0.00821687372964249,1.0380004906957752,0.6072357895379573,1.3261089533171475
saelens_sae,64,random_stratified,12,0.011288476184771953,0.00821687372964249,1.3738164362984688,0.8775233198097097,1.6560738362182705
saelens_sae,64,embedding_ase,12,0.012056652468243678,0.00821687372964249,1.467304094591247,0.8006180945287762,2.034270833296045
saelens_sae,64,ase_output,12,0.013396814699092999,0.00821687372964249,1.630402892862257,1.0578469036149714,2.4503548181130923
saelens_sae,64,embedding_comp,12,0.02004475003499798,0.00821687372964249,2.4394618555091405,0.3191210076730237,3.9624103890478546
saelens_sae,128,input_concept_comp,12,0.00400317426979651,0.0089982866328201,0.44488183508129686,0.2519860547366937,0.8158291700636984
saelens_sae,128,internal,12,0.004339619665662,0.0089982866328201,0.4822717749214381,0.3266828688284945,0.6367026358173552
saelens_sae,128,random_comp,12,0.004482007213730222,0.0089982866328201,0.49809562604759383,0.37462841116263146,0.6763491749159312
saelens_sae,128,per_query_rf,12,0.004673737274552227,0.0089982866328201,0.5194030225160163,0.32432125103940557,0.7889988676812792
saelens_sae,128,pca_comp,12,0.004715965295538456,0.0089982866328201,0.5240959182537679,0.35559147371499367,0.8248761019889072
saelens_sae,128,output_comp,12,0.005786115499673758,0.0089982866328201,0.6430241373473969,0.4052434982341419,0.9115923772364064
saelens_sae,128,output_active,12,0.006180140669005319,0.0089982866328201,0.6868130479933865,0.5851136174521891,0.7619089092138605
saelens_sae,128,embedding_comp,12,0.006887911453754238,0.0089982866328201,0.7654692203992993,0.2910386545477668,1.2503325177012057
saelens_sae,128,random_stratified,12,0.007799213888398055,0.0089982866328201,0.8667443266311855,0.61920441608894,1.3374668527320142
saelens_sae,128,mc,12,0.0089982866328201,0.0089982866328201,1.0,1.0,1.0
saelens_sae,128,embedding_ase,12,0.009468367480359764,0.0089982866328201,1.052241150645847,0.6757935012668926,1.8093759462967094
saelens_sae,128,ase_output,12,0.009762455687993485,0.0089982866328201,1.0849238400993113,0.7370012277553414,1.6466747548669083
saelens_sae,256,pca_comp,12,0.0019891231149439074,0.005323141405073022,0.37367467132251037,0.26824458585419886,0.5079340871045426
saelens_sae,256,output_comp,12,0.00268051302890067,0.005323141405073022,0.5035584864129491,0.29688818384139176,0.7680984185776927
saelens_sae,256,per_query_rf,12,0.0027196144578502776,0.005323141405073022,0.510904041598153,0.42089121929191087,0.6191821628636962
saelens_sae,256,input_concept_comp,12,0.0031189207909076136,0.005323141405073022,0.5859173284285182,0.3584333556568471,0.9206752430430274
saelens_sae,256,internal,12,0.003291849272313553,0.005323141405073022,0.6184034993277425,0.3614507669302838,1.0212789746060575
saelens_sae,256,output_active,12,0.0034204396098550774,0.005323141405073022,0.6425603510354534,0.4306831580597524,0.9763461347617273
saelens_sae,256,random_comp,12,0.004555520967199563,0.005323141405073022,0.8557955952209148,0.41941439615757026,1.3238186027018126
saelens_sae,256,embedding_ase,12,0.004674133496019294,0.005323141405073022,0.878078025799725,0.5988335561787325,1.3331293072455916
saelens_sae,256,ase_output,12,0.004748883718198628,0.005323141405073022,0.8921205274901923,0.5837361234927305,1.366751948586895
saelens_sae,256,mc,12,0.005323141405073022,0.005323141405073022,1.0,1.0,1.0
saelens_sae,256,random_stratified,12,0.005675449889529625,0.005323141405073022,1.0661843181773922,0.6443415583230965,1.4481034988522308
saelens_sae,256,embedding_comp,12,0.0070599446074107175,0.005323141405073022,1.326274105865852,0.26943348747036283,2.620022938122149
saelens_sae,512,per_query_rf,12,0.0014476674735481195,0.0031591169339733782,0.4582506769470278,0.3685388590908504,0.5500963824027266
saelens_sae,512,pca_comp,12,0.001552280147700421,0.0031591169339733782,0.49136520747525514,0.4326982079954972,0.5743198069625294
saelens_sae,512,output_comp,12,0.0015860088810611386,0.0031591169339733782,0.502041840871758,0.39030423096718564,0.5980246540809153
saelens_sae,512,output_active,12,0.0021946361899245824,0.0031591169339733782,0.6946992579867183,0.47087185718487806,0.927384981852192
saelens_sae,512,internal,12,0.002320401020950853,0.0031591169339733782,0.7345093801362932,0.6108541755424481,0.8992795866127491
saelens_sae,512,input_concept_comp,12,0.0023573646306749457,0.0031591169339733782,0.7462099947373493,0.5461183799788424,0.9839665721497319
