basis_kind,method,budget,cells,model_queries,mean_reference_rate,rmse,mae,mc_rmse,rmse_ratio_vs_mc,effective_mc_multiplier
saelens_sae,pca_comp,64,36,12,0.0059,0.004472864188125956,0.0035787317137392313,0.008216873729642492,0.5443510920692419,3.3747515302070537
saelens_sae,per_query_rf,64,36,12,0.0059,0.005648305592537167,0.0041499492657349375,0.008216873729642492,0.687403236118966,2.116298164611902
saelens_sae,output_comp,64,36,12,0.0059,0.006118791183151619,0.004255152634303626,0.008216873729642492,0.7446617027931184,1.8033580458351592
saelens_sae,input_concept_comp,64,36,12,0.0059,0.006292587661463906,0.0046225387070212565,0.008216873729642492,0.7658128709904966,1.7051189363019965
saelens_sae,random_comp,64,36,12,0.0059,0.006310242591672677,0.005282610162506185,0.008216873729642492,0.7679614898922427,1.6955910479779193
saelens_sae,output_active,64,36,12,0.0059,0.008187479540931325,0.005957933129539362,0.008216873729642492,0.9964227040991117,1.007193166877296
saelens_sae,mc,64,36,12,0.0059,0.008216873729642492,0.006613888888888889,0.008216873729642492,1.0,1.0
saelens_sae,internal,64,36,12,0.0059,0.008529118963354131,0.005419718555714307,0.008216873729642492,1.0380004906957752,0.9281216049620669
saelens_sae,random_stratified,64,36,12,0.0059,0.011288476184771952,0.0074221322634734094,0.008216873729642492,1.3738164362984682,0.5298373672989879
saelens_sae,embedding_ase,64,36,12,0.0059,0.012056652468243678,0.007644375131833329,0.008216873729642492,1.4673040945912468,0.4644722168330947
saelens_sae,ase_output,64,36,12,0.0059,0.013396814699092997,0.009663639826099276,0.008216873729642492,1.6304028928622565,0.3761924935652944
saelens_sae,embedding_comp,64,36,12,0.0059,0.02004475003499798,0.005838146441243236,0.008216873729642492,2.43946185550914,0.1680397151325033
saelens_sae,input_concept_comp,128,36,12,0.0059,0.00400317426979651,0.002863523876479481,0.008998286632820101,0.4448818350812968,5.0525503845187965
saelens_sae,internal,128,36,12,0.0059,0.004339619665662,0.0030805306674307007,0.008998286632820101,0.48227177492143797,4.299483722254307
saelens_sae,random_comp,128,36,12,0.0059,0.004482007213730222,0.003229269682055659,0.008998286632820101,0.4980956260475937,4.0306449502231745
saelens_sae,per_query_rf,128,36,12,0.0059,0.004673737274552227,0.003269124902117055,0.008998286632820101,0.5194030225160162,3.7067308700101136
saelens_sae,pca_comp,128,36,12,0.0059,0.004715965295538456,0.003191406173066737,0.008998286632820101,0.5240959182537678,3.640645942443153
saelens_sae,output_comp,128,36,12,0.0059,0.005786115499673758,0.0035894327841728027,0.008998286632820101,0.6430241373473968,2.4184964214241655
saelens_sae,output_active,128,36,12,0.0059,0.00618014066900532,0.004060385769230331,0.008998286632820101,0.6868130479933864,2.119936856970097
saelens_sae,embedding_comp,128,36,12,0.0059,0.006887911453754237,0.003394038634515364,0.008998286632820101,0.7654692203992991,1.7066502758955873
saelens_sae,random_stratified,128,36,12,0.0059,0.007799213888398054,0.006243712742516453,0.008998286632820101,0.8667443266311853,1.3311223785572228
saelens_sae,mc,128,36,12,0.0059,0.008998286632820101,0.005984375,0.008998286632820101,1.0,1.0
saelens_sae,embedding_ase,128,36,12,0.0059,0.009468367480359764,0.00701152290223877,0.008998286632820101,1.0522411506458467,0.9031698595902942
saelens_sae,ase_output,128,36,12,0.0059,0.009762455687993485,0.006969335760431555,0.008998286632820101,1.084923840099311,0.8495745517606744
saelens_sae,pca_comp,256,36,12,0.0059,0.001989123114943908,0.0016330462724892694,0.005323141405073021,0.3736746713225105,7.161643156563247
saelens_sae,output_comp,256,36,12,0.0059,0.00268051302890067,0.0020333986178367024,0.005323141405073021,0.5035584864129491,3.9436663161526897
saelens_sae,per_query_rf,256,36,12,0.0059,0.0027196144578502776,0.0018407804008641416,0.005323141405073021,0.5109040415981531,3.831080904489152
saelens_sae,input_concept_comp,256,36,12,0.0059,0.0031189207909076136,0.0022343317323413724,0.005323141405073021,0.5859173284285183,2.912911668319112
saelens_sae,internal,256,36,12,0.0059,0.003291849272313553,0.0024116415346285766,0.005323141405073021,0.6184034993277426,2.6149062501986364
