method,budget,cells,model_queries,mean_reference_rate,rmse,mae,mc_rmse,rmse_ratio_vs_mc,effective_mc_multiplier
input_concept_comp,1024,12,12,0.0059,0.0016859293488492978,0.0012187212912179678,0.0023144039041394543,0.7284507884876573,1.8845148521868138
pca_comp,1024,12,12,0.0059,0.0018170182501471793,0.001276454450963451,0.0023144039041394543,0.785091248289605,1.6224066871842175
output_active,1024,12,12,0.0059,0.0018818780972233628,0.0013673273542631032,0.0023144039041394543,0.8131156769384582,1.512499818612447
random_comp,1024,12,12,0.0059,0.002167975168117075,0.0015738351347604777,0.0023144039041394543,0.9367315550408108,1.1396452887334008
mc,1024,12,12,0.0059,0.0023144039041394543,0.0016758101851851602,0.0023144039041394543,1.0,1.0
embedding_comp,1024,12,12,0.0059,0.0023272885010006106,0.0015491567338132945,0.0023144039041394543,1.0055671340849845,0.9889580253783935
random_stratified,1024,12,12,0.0059,0.00250600955143309,0.0018316721970452927,0.0023144039041394543,1.0827883356707693,0.8529289641314396
ase_output,1024,12,12,0.0059,0.00287549277892496,0.001724162857328503,0.0023144039041394543,1.2424334290924604,0.6478190932332928
embedding_ase,1024,12,12,0.0059,0.0029685408380726373,0.0021740445485457093,0.0023144039041394543,1.282637327375407,0.6078441631900304
per_query_rf,2048,12,12,0.0059,0.0012090185843054832,0.0008387121041687579,0.0014737677820549535,0.820358945979728,1.485908828839429
input_concept_comp,2048,12,12,0.0059,0.0012478857023185128,0.0009024580354819424,0.0014737677820549535,0.8467315662027289,1.3947889523080954
output_comp,2048,12,12,0.0059,0.0012898369968369675,0.0009722022107230802,0.0014737677820549535,0.8751969018066595,1.3055348122101926
output_active,2048,12,12,0.0059,0.0013158040023367257,0.0009405822151487341,0.0014737677820549535,0.892816370637462,1.2545145719139141
mc,2048,12,12,0.0059,0.0014737677820549535,0.0010862847222221916,0.0014737677820549535,1.0,1.0
pca_comp,2048,12,12,0.0059,0.001497797627749316,0.0010359082162393095,0.0014737677820549535,1.0163050420744415,0.968170486581172
random_comp,2048,12,12,0.0059,0.001520618936795864,0.0010994659767450505,0.0014737677820549535,1.0317900522126922,0.9393281275832981
embedding_comp,2048,12,12,0.0059,0.001534993646234554,0.0010982992254245697,0.0014737677820549535,1.0415437662059825,0.9218175074169475
random_stratified,2048,12,12,0.0059,0.0016268611952395611,0.0012259141633011344,0.0014737677820549535,1.1038789251934529,0.820648378840564
ase_output,2048,12,12,0.0059,0.0017648137252304075,0.0012647631803869256,0.0014737677820549535,1.1974842622557762,0.6973653600539688
embedding_ase,2048,12,12,0.0059,0.0018446528552422542,0.0013210376526163567,0.0014737677820549535,1.2516577426262878,0.6383058424676932
