basis_kind,budget,method,model_queries,rmse,mc_rmse,rmse_ratio_vs_mc,rmse_ratio_ci_low,rmse_ratio_ci_high
saelens_sae,64,input_concept_comp,12,0.0059703385474867005,0.007571300740784485,0.7885485931533734,0.5427463782912879,1.0037438364622622
saelens_sae,64,output_comp,12,0.0061278818359618535,0.007571300740784485,0.8093565485984018,0.5082590085932656,1.1046035735862578
saelens_sae,64,pca_comp,12,0.0064307521955299365,0.007571300740784485,0.8493589695743121,0.4889210197033722,1.1487306659565044
saelens_sae,64,random_comp,12,0.007154643212389282,0.007571300740784485,0.9449688312933093,0.73474403853536,1.1718606009130732
saelens_sae,64,mc,12,0.007571300740784485,0.007571300740784485,1.0,1.0,1.0
saelens_sae,64,output_active,12,0.008054892202172342,0.007571300740784485,1.0638716487357165,0.6485912397773773,1.3963046762600626
saelens_sae,64,internal,12,0.008529118963353762,0.007571300740784485,1.1265064293919507,0.5673393441094159,1.494759544876243
saelens_sae,64,per_query_rf,12,0.011187255712204051,0.007571300740784485,1.4775870217308136,0.5495532325311383,2.733759860161179
saelens_sae,64,embedding_ase,12,0.011565774042019247,0.007571300740784485,1.5275808527480157,1.1766105240029736,1.8350801078674723
saelens_sae,64,random_stratified,12,0.011699186699329131,0.007571300740784485,1.545201689890467,1.1685759420583235,1.8255146678544627
saelens_sae,64,embedding_comp,12,0.01226198495338926,0.007571300740784485,1.619534789753809,0.36769490178913933,2.534087447103241
saelens_sae,64,ase_output,12,0.016196650666448792,0.007571300740784485,2.1392163937171262,1.1854156294616667,2.946387186978731
saelens_sae,128,per_query_rf,12,0.003978407953656853,0.007975749014228196,0.49881308282891584,0.41714673590832857,0.6016413450192005
saelens_sae,128,internal,12,0.004339619665661802,0.007975749014228196,0.5441018339368773,0.44003652753741807,0.6380769993571768
saelens_sae,128,input_concept_comp,12,0.004609445251981058,0.007975749014228196,0.5779325858622331,0.3290774953897761,1.0073509762174369
saelens_sae,128,output_active,12,0.005044340664486817,0.007975749014228196,0.6324598047767118,0.581589469084669,0.7309318355775719
saelens_sae,128,random_comp,12,0.005289743246622023,0.007975749014228196,0.6632283986350974,0.5040009962050286,0.9582094360251161
saelens_sae,128,pca_comp,12,0.00543073905871381,0.007975749014228196,0.6809064639604054,0.42055336604601806,1.1676863965278126
saelens_sae,128,embedding_comp,12,0.00680442451328847,0.007975749014228196,0.8531392476305156,0.39765339345893636,1.497360983464819
saelens_sae,128,ase_output,12,0.007723315800398024,0.007975749014228196,0.9683499050208515,0.6992023951845858,1.4358175183835002
saelens_sae,128,random_stratified,12,0.0077446341113478895,0.007975749014228196,0.9710227964209991,0.8395276801208973,1.3227002098532896
saelens_sae,128,mc,12,0.007975749014228196,0.007975749014228196,1.0,1.0,1.0
saelens_sae,128,output_comp,12,0.008306983284375853,0.007975749014228196,1.0415301772356123,0.6751545556058164,1.1744379194948775
saelens_sae,128,embedding_ase,12,0.009973759208680944,0.007975749014228196,1.2505106656300786,0.9133521921726643,1.7994115587328572
saelens_sae,256,per_query_rf,12,0.0023738626821954625,0.004697319575876935,0.5053653778181123,0.4156420283718561,0.5867746741077532
saelens_sae,256,pca_comp,12,0.002504713816822396,0.004697319575876935,0.533221931436248,0.45409665082434975,0.6186649820122437
saelens_sae,256,input_concept_comp,12,0.0027895881168105837,0.004697319575876935,0.5938680713010249,0.4802804721519716,0.7050779380368553
saelens_sae,256,internal,12,0.003291849272313553,0.004697319575876935,0.700793126620303,0.42865963005718166,0.9502555078008772
saelens_sae,256,output_comp,12,0.003536959256316989,0.004697319575876935,0.7529739459246139,0.49539745815304287,0.9237964868189759
saelens_sae,256,output_active,12,0.004120723685387037,0.004697319575876935,0.8772500186167865,0.6314264516286255,1.0843656269158797
saelens_sae,256,random_comp,12,0.004477009222650371,0.004697319575876935,0.9530987088130075,0.6354242082881916,1.2323078186426892
saelens_sae,256,random_stratified,12,0.004581685404882786,0.004697319575876935,0.9753829457148312,0.7982130051172001,1.1137682215084828
saelens_sae,256,mc,12,0.004697319575876935,0.004697319575876935,1.0,1.0,1.0
saelens_sae,256,embedding_ase,12,0.004785047258329956,0.004697319575876935,1.0186761153964372,0.8577339853435333,1.1753023765626514
saelens_sae,256,ase_output,12,0.004966130462381678,0.004697319575876935,1.057226442051169,0.9033825219905866,1.1572417685970129
saelens_sae,256,embedding_comp,12,0.005672140453655923,0.004697319575876935,1.2075270507003988,0.4803945917173864,1.799594925985438
saelens_sae,512,per_query_rf,12,0.001544822860215448,0.0029664424359069847,0.5207661680928999,0.434877521624051,0.6252188989584981
saelens_sae,512,pca_comp,12,0.001829960325122997,0.0029664424359069847,0.6168871854624375,0.5134650037700209,0.742166822927441
saelens_sae,512,internal,12,0.002320401020950853,0.0029664424359069847,0.7822167701162199,0.6939987922720177,0.8563441910687746
saelens_sae,512,output_comp,12,0.002478150438733721,0.0029664424359069847,0.835394750539304,0.6808011932859164,0.9094348755285351
saelens_sae,512,input_concept_comp,12,0.002503310021690349,0.0029664424359069847,0.8438761498923091,0.6736044761569213,1.100297381542011
